Swept 46 (parameter, base_config) pairs over 51 tracks.

GATE (a) — known-inert self-test:
  PASSED — all 5 known cases (13 (parameter, base) pairs) correctly flagged inert.

Full matrix:
  cutoff_low                       / default                      -> not inert   (changed 51/51 tracks, unevaluable 0/51)
  cutoff_low                       / nofilter                     -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  cutoff_high                      / default                      -> not inert   (changed 48/51 tracks, unevaluable 0/51)
  cutoff_high                      / nofilter                     -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  boundary_padding                 / default                      -> not inert   (changed 49/51 tracks, unevaluable 0/51)
  boundary_padding                 / nofilter                     -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  sm_val                           / manual_sm                    -> not inert   (changed 50/51 tracks, unevaluable 0/51)
  sm2_val                          / manual_sm2                   -> not inert   (changed 47/51 tracks, unevaluable 0/51)
  replace_endpoints                / default                      -> not inert   (changed 51/51 tracks, unevaluable 0/51)
  savgol_poly                      / default                      -> not inert   (changed 45/51 tracks, unevaluable 0/51)
  savgol_poly                      / nosmoothing                  -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  use_filter                       / default                      -> not inert   (changed 41/51 tracks, unevaluable 0/51)
  thr_int_len                      / default                      -> not inert   (changed 4/51 tracks, unevaluable 0/51)
  thr_dec_len                      / default                      -> not inert   (changed 16/51 tracks, unevaluable 0/51)
  thr_int_gap                      / default                      -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  thr_dec_gap                      / default                      -> not inert   (changed 3/51 tracks, unevaluable 0/51)
  thr_mat_len                      / mature_derivative            -> not inert   (changed 50/51 tracks, unevaluable 0/51)
  thr_mat_len                      / mature_amplitude             -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  thr_mat_dist                     / mature_derivative            -> not inert   (changed 50/51 tracks, unevaluable 0/51)
  thr_mat_dist                     / mature_amplitude             -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  thr_inc_len                      / default                      -> not inert   (changed 49/51 tracks, unevaluable 0/51)
  thr_inc_len                      / plateau_single_derivative    -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  mature_amplitude_fraction        / mature_amplitude             -> not inert   (changed 50/51 tracks, unevaluable 0/51)
  mature_amplitude_fraction        / mature_derivative            -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  length_scale                     / default                      -> not inert   (changed 1/51 tracks, unevaluable 0/51)
  mature_method                    / default                      -> not inert   (changed 50/51 tracks, unevaluable 0/51)
  incipient_plateau_tau            / default                      -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  incipient_plateau_tau            / plateau_single_derivative    -> not inert   (changed 33/51 tracks, unevaluable 0/51)
  incipient_plateau_signal         / default                      -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  incipient_plateau_signal         / plateau_single_derivative    -> not inert   (changed 13/51 tracks, unevaluable 0/51)
  incipient_plateau_crossing       / default                      -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  incipient_plateau_crossing       / plateau_single_derivative    -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  incipient_plateau_k              / default                      -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  incipient_plateau_k              / plateau_single_derivative    -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  incipient_plateau_k              / plateau_single_vorticity     -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  incipient_plateau_k              / plateau_sustained_derivative -> not inert   (changed 1/51 tracks, unevaluable 0/51)
  incipient_plateau_k              / plateau_sustained_vorticity  -> not inert   (changed 42/51 tracks, unevaluable 0/51)
  incipient_smooth_window          / default                      -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  incipient_smooth_window          / plateau_single_derivative    -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  incipient_smooth_window          / plateau_single_vorticity     -> not inert   (changed 22/51 tracks, unevaluable 0/51)
  incipient_smooth_polyorder       / default                      -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  incipient_smooth_polyorder       / plateau_single_derivative    -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  incipient_smooth_polyorder       / plateau_single_vorticity     -> INERT       (changed 0/51 tracks, unevaluable 0/51)
  extrema_prominence_relative      / extrema_prominence_on        -> not inert   (changed 4/51 tracks, unevaluable 0/51)
  extrema_distance                 / extrema_distance_on          -> not inert   (changed 2/51 tracks, unevaluable 0/51)
  decay_tail_amplitude_fraction    / decay_tail_on                -> INERT       (changed 0/51 tracks, unevaluable 0/51)
