idx,z,z_pv_base,z_pv_forcado,pre_H_base,pos_H_base,pre_H_forcado,pos_H_forcado
0,-3.284535915283142e-05,valley,peak,decay,incipient,intensification,incipient
1,-3.25576623683638e-05,,,decay,incipient,intensification,incipient
2,-3.2217230546869213e-05,,,decay,incipient,intensification,incipient
3,-3.1839973238478514e-05,,,decay,incipient,intensification,incipient
4,-3.144652878221858e-05,,,decay,incipient,intensification,incipient
5,-3.1060369874784396e-05,,,decay,incipient,intensification,incipient
6,-3.070568289878912e-05,,,decay,incipient,intensification,incipient
7,-3.0407144172057375e-05,,,decay,incipient,intensification,incipient
8,-3.018746595551194e-05,,,decay,incipient,intensification,incipient
9,-3.0065726352298032e-05,,,decay,incipient,intensification,incipient
10,-3.0052685675146987e-05,peak,peak,decay,incipient,intensification,incipient
11,-3.015235717588937e-05,,,intensification,incipient,intensification,incipient
12,-3.0362968734784435e-05,,,intensification,incipient,intensification,incipient
13,-3.067758525453709e-05,,,intensification,incipient,intensification,incipient
14,-3.108356928968678e-05,,,intensification,incipient,intensification,incipient
15,-3.156564422587532e-05,,,intensification,incipient,intensification,incipient
16,-3.2106392607170536e-05,,,intensification,incipient,intensification,incipient
17,-3.268702380975367e-05,,,intensification,incipient,intensification,incipient
18,-3.328907225358607e-05,,,intensification,incipient,intensification,incipient
19,-3.389284983938894e-05,,,intensification,incipient,intensification,incipient
20,-3.4479742070458894e-05,,,intensification,incipient,intensification,incipient
21,-3.50304800266573e-05,,,intensification,incipient,intensification,incipient
22,-3.552731684594999e-05,,,intensification,incipient,intensification,incipient
23,-3.5952283658857366e-05,,,intensification,incipient,intensification,incipient
24,-3.629029362538165e-05,,,intensification,incipient,intensification,incipient
25,-3.6527771394317554e-05,,,intensification,incipient,intensification,incipient
26,-3.665667128006735e-05,,,intensification,incipient,intensification,incipient
27,-3.6672627651958426e-05,,,intensification,incipient,intensification,incipient
28,-3.6575317259274625e-05,,,intensification,incipient,intensification,incipient
29,-3.637310646380108e-05,,,intensification,incipient,intensification,incipient
30,-3.6080330510267965e-05,,,intensification,incipient,intensification,incipient
31,-3.5717966579760584e-05,,,intensification,incipient,intensification,incipient
32,-3.53123509889948e-05,,,intensification,incipient,intensification,incipient
33,-3.4895309808294535e-05,,,intensification,incipient,intensification,incipient
34,-3.4500343982371855e-05,,,intensification,incipient,intensification,incipient
35,-3.416131470402632e-05,,,intensification,incipient,intensification,incipient
36,-3.3910275742112593e-05,,,intensification,incipient,intensification,incipient
37,-3.377608618436603e-05,peak,peak,intensification,incipient,intensification,incipient
38,-3.378191852357653e-05,,,intensification,intensification,intensification,intensification
39,-3.3945048207754514e-05,,,intensification,intensification,intensification,intensification
40,-3.427672780314146e-05,,,intensification,intensification,intensification,intensification
41,-3.4783255071118885e-05,,,intensification,intensification,intensification,intensification
42,-3.546739205027336e-05,,,intensification,intensification,intensification,intensification
43,-3.63306493550699e-05,,,intensification,intensification,intensification,intensification
